fecha,anio,mes,mes_nombre,grupo_residencia_principal,grupo_residencia_detalle,aeropuerto,valor,total_ytd_archivo,unidad,fuente_archivo
2026-01-31,2026,1,Enero,RESIDENTES,EXTRANJEROS,CIBAO,1259.4646005171157,2905.8931863873977,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,EXTRANJEROS,CIBAO,643.5802641262089,2905.8931863873977,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,EXTRANJEROS,CIBAO,1002.8483217440731,2905.8931863873977,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,EXTRANJEROS,LA ISABELA,308.6993520385349,695.0243007556105,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,EXTRANJEROS,LA ISABELA,185.57715240727626,695.0243007556105,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,EXTRANJEROS,LA ISABELA,200.74779630979933,695.0243007556105,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,EXTRANJEROS,"EL CATEY, SAMANA",63.72874765717895,122.94637209082907,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,EXTRANJEROS,"EL CATEY, SAMANA",24.02755065766086,122.94637209082907,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,EXTRANJEROS,"EL CATEY, SAMANA",35.19007377598927,122.94637209082907,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,,TOTAL,825846.6178764378,2603644.6208847733,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,,TOTAL,824079.7038942416,2603644.6208847733,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,,TOTAL,953718.2991140939,2603644.6208847733,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,,LAS AMERICAS,151340.16972353833,475401.6894790065,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,,LAS AMERICAS,150677.36300239386,475401.6894790065,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,,LAS AMERICAS,173384.15675307432,475401.6894790065,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,,PUERTO PLATA,49304.83641996727,158445.536314168,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,,PUERTO PLATA,50588.610556799926,158445.536314168,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,,PUERTO PLATA,58552.0893374008,158445.536314168,pasajeros,lleg_total_2026.xls
