anio,concepto,valor,unidad,fuente_archivo
2013,1.2 Ingreso Primario,-2972.2999999999997,millones_usd,bpagos_6.xls
2014,1.2 Ingreso Primario,-3247.4,millones_usd,bpagos_6.xls
2015,1.2 Ingreso Primario,-2936.3999999999996,millones_usd,bpagos_6.xls
2016,1.2 Ingreso Primario,-3253.1000000000004,millones_usd,bpagos_6.xls
2017,1.2 Ingreso Primario,-3793.8,millones_usd,bpagos_6.xls
2018,1.2 Ingreso Primario,-3691.7,millones_usd,bpagos_6.xls
2019,1.2 Ingreso Primario,-4068.9000000000005,millones_usd,bpagos_6.xls
2020,1.2 Ingreso Primario,-3825.0,millones_usd,bpagos_6.xls
2021,1.2 Ingreso Primario,-4710.5,millones_usd,bpagos_6.xls
2022,1.2 Ingreso Primario,-4311.0,millones_usd,bpagos_6.xls
2023,1.2 Ingreso Primario,-5437.600000000001,millones_usd,bpagos_6.xls
2024,1.2 Ingreso Primario,-6426.0,millones_usd,bpagos_6.xls
2025,1.2 Ingreso Primario,-7741.4000000000015,millones_usd,bpagos_6.xls
2010,Remuneración de Empleados,62.0,millones_usd,bpagos_6.xls
2011,Remuneración de Empleados,97.19999999999999,millones_usd,bpagos_6.xls
2012,Remuneración de Empleados,66.1,millones_usd,bpagos_6.xls
2013,Remuneración de Empleados,75.6,millones_usd,bpagos_6.xls
2014,Remuneración de Empleados,84.5,millones_usd,bpagos_6.xls
2015,Remuneración de Empleados,75.29999999999998,millones_usd,bpagos_6.xls
2016,Remuneración de Empleados,79.19999999999999,millones_usd,bpagos_6.xls
2017,Remuneración de Empleados,76.4,millones_usd,bpagos_6.xls
2018,Remuneración de Empleados,128.6,millones_usd,bpagos_6.xls
2019,Remuneración de Empleados,76.19999999999999,millones_usd,bpagos_6.xls
2020,Remuneración de Empleados,-121.0,millones_usd,bpagos_6.xls
2021,Remuneración de Empleados,107.49999999999997,millones_usd,bpagos_6.xls
2022,Remuneración de Empleados,175.8,millones_usd,bpagos_6.xls
2023,Remuneración de Empleados,251.4,millones_usd,bpagos_6.xls
2024,Remuneración de Empleados,276.6,millones_usd,bpagos_6.xls
2025,Remuneración de Empleados,318.8999999999999,millones_usd,bpagos_6.xls
2010,Crédito,204.1,millones_usd,bpagos_6.xls
2011,Crédito,242.5,millones_usd,bpagos_6.xls
2012,Crédito,216.7,millones_usd,bpagos_6.xls
2013,Crédito,223.2,millones_usd,bpagos_6.xls
2014,Crédito,239.2,millones_usd,bpagos_6.xls
2015,Crédito,235.6,millones_usd,bpagos_6.xls
2016,Crédito,247.6,millones_usd,bpagos_6.xls
2017,Crédito,266.0,millones_usd,bpagos_6.xls
2018,Crédito,323.5,millones_usd,bpagos_6.xls
2019,Crédito,333.5,millones_usd,bpagos_6.xls
2020,Crédito,112.4,millones_usd,bpagos_6.xls
2021,Crédito,340.29999999999995,millones_usd,bpagos_6.xls
2022,Crédito,421.6,millones_usd,bpagos_6.xls
2023,Crédito,462.0,millones_usd,bpagos_6.xls
2024,Crédito,491.0,millones_usd,bpagos_6.xls
2025,Crédito,545.0999999999999,millones_usd,bpagos_6.xls
2010,Débito,142.1,millones_usd,bpagos_6.xls
2011,Débito,145.3,millones_usd,bpagos_6.xls
2012,Débito,150.6,millones_usd,bpagos_6.xls
2013,Débito,147.6,millones_usd,bpagos_6.xls
2014,Débito,154.7,millones_usd,bpagos_6.xls
2015,Débito,160.3,millones_usd,bpagos_6.xls
2016,Débito,168.4,millones_usd,bpagos_6.xls
2017,Débito,189.6,millones_usd,bpagos_6.xls
2018,Débito,194.9,millones_usd,bpagos_6.xls
2019,Débito,257.3,millones_usd,bpagos_6.xls
2020,Débito,233.4,millones_usd,bpagos_6.xls
2021,Débito,232.79999999999998,millones_usd,bpagos_6.xls
2022,Débito,245.8,millones_usd,bpagos_6.xls
2023,Débito,210.6,millones_usd,bpagos_6.xls
2024,Débito,214.39999999999998,millones_usd,bpagos_6.xls
2025,Débito,226.2,millones_usd,bpagos_6.xls
2010,Renta de la Inversión,-1989.1999999999998,millones_usd,bpagos_6.xls
2011,Renta de la Inversión,-2351.7,millones_usd,bpagos_6.xls
2012,Renta de la Inversión,-2465.7,millones_usd,bpagos_6.xls
2013,Renta de la Inversión,-3047.8999999999996,millones_usd,bpagos_6.xls
2014,Renta de la Inversión,-3331.9,millones_usd,bpagos_6.xls
2015,Renta de la Inversión,-3011.7,millones_usd,bpagos_6.xls
2016,Renta de la Inversión,-3332.3,millones_usd,bpagos_6.xls
2017,Renta de la Inversión,-3870.2000000000003,millones_usd,bpagos_6.xls
