anio,pais_origen,valor,unidad,fuente_archivo
2013,El Salvador*,80.0,millones_usd,inversion_ext_pais.xls
2000,Australia*,0.0,millones_usd,inversion_ext_pais.xls
2001,Australia*,0.0,millones_usd,inversion_ext_pais.xls
2002,Australia*,0.0,millones_usd,inversion_ext_pais.xls
2003,Australia*,0.0,millones_usd,inversion_ext_pais.xls
2004,Australia*,0.0,millones_usd,inversion_ext_pais.xls
2005,Australia*,0.0,millones_usd,inversion_ext_pais.xls
2006,Australia*,0.0,millones_usd,inversion_ext_pais.xls
2007,Australia*,0.5,millones_usd,inversion_ext_pais.xls
2008,Australia*,5.6,millones_usd,inversion_ext_pais.xls
2009,Australia*,30.8,millones_usd,inversion_ext_pais.xls
2010,Australia*,28.5,millones_usd,inversion_ext_pais.xls
2011,Australia*,30.7,millones_usd,inversion_ext_pais.xls
2012,Australia*,-22.2,millones_usd,inversion_ext_pais.xls
2013,Australia*,-3.580748,millones_usd,inversion_ext_pais.xls
1993,Resto,0.6,millones_usd,inversion_ext_pais.xls
1994,Resto,6.2,millones_usd,inversion_ext_pais.xls
1995,Resto,24.6,millones_usd,inversion_ext_pais.xls
1996,Resto,-6.0,millones_usd,inversion_ext_pais.xls
1997,Resto,-90.6,millones_usd,inversion_ext_pais.xls
1998,Resto,76.8,millones_usd,inversion_ext_pais.xls
1999,Resto,222.7,millones_usd,inversion_ext_pais.xls
2000,Resto,157.29999999999995,millones_usd,inversion_ext_pais.xls
2001,Resto,54.493916,millones_usd,inversion_ext_pais.xls
2002,Resto,159.8,millones_usd,inversion_ext_pais.xls
2003,Resto,66.9,millones_usd,inversion_ext_pais.xls
2004,Resto,24.1,millones_usd,inversion_ext_pais.xls
2005,Resto,87.4,millones_usd,inversion_ext_pais.xls
2006,Resto,59.800000000000004,millones_usd,inversion_ext_pais.xls
2007,Resto,105.8,millones_usd,inversion_ext_pais.xls
2008,Resto,65.2,millones_usd,inversion_ext_pais.xls
2009,Resto,27.499999999999996,millones_usd,inversion_ext_pais.xls
2010,Resto,-724.5,millones_usd,inversion_ext_pais.xls
2011,Resto,121.49999999999999,millones_usd,inversion_ext_pais.xls
2012,Resto,572.3,millones_usd,inversion_ext_pais.xls
2013,Resto,1109.791382,millones_usd,inversion_ext_pais.xls
1993,Total Flujos IED,189.29999999999998,millones_usd,inversion_ext_pais.xls
1994,Total Flujos IED,206.79999999999998,millones_usd,inversion_ext_pais.xls
1995,Total Flujos IED,414.29999999999995,millones_usd,inversion_ext_pais.xls
1996,Total Flujos IED,96.5,millones_usd,inversion_ext_pais.xls
1997,Total Flujos IED,420.6,millones_usd,inversion_ext_pais.xls
1998,Total Flujos IED,699.8,millones_usd,inversion_ext_pais.xls
1999,Total Flujos IED,1337.8000000000002,millones_usd,inversion_ext_pais.xls
2000,Total Flujos IED,952.8999999999999,millones_usd,inversion_ext_pais.xls
2001,Total Flujos IED,1079.1388689,millones_usd,inversion_ext_pais.xls
2002,Total Flujos IED,916.8379899000001,millones_usd,inversion_ext_pais.xls
2003,Total Flujos IED,613.0000000000001,millones_usd,inversion_ext_pais.xls
2004,Total Flujos IED,909.0000000000001,millones_usd,inversion_ext_pais.xls
2005,Total Flujos IED,1122.7000000000003,millones_usd,inversion_ext_pais.xls
2006,Total Flujos IED,1084.6000000000001,millones_usd,inversion_ext_pais.xls
2007,Total Flujos IED,1667.4000000000003,millones_usd,inversion_ext_pais.xls
2008,Total Flujos IED,2869.9999999999995,millones_usd,inversion_ext_pais.xls
2009,Total Flujos IED,2165.3999999999996,millones_usd,inversion_ext_pais.xls
2010,Total Flujos IED,1896.2999999999993,millones_usd,inversion_ext_pais.xls
2011,Total Flujos IED,2275.0,millones_usd,inversion_ext_pais.xls
2012,Total Flujos IED,3142.3999999999996,millones_usd,inversion_ext_pais.xls
2013,Total Flujos IED,1990.4999995220714,millones_usd,inversion_ext_pais.xls
