anio,concepto,valor,unidad,hoja_origen,fuente_archivo
2018,B. DEUDA INTERNA NETA (1+2+3+4) 6/,19115.129867099047,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2019,B. DEUDA INTERNA NETA (1+2+3+4) 6/,21251.290286490923,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2020,B. DEUDA INTERNA NETA (1+2+3+4) 6/,23461.399999999998,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2021,B. DEUDA INTERNA NETA (1+2+3+4) 6/,24921.29652171197,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2022,B. DEUDA INTERNA NETA (1+2+3+4) 6/,29315.699999999997,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2023,B. DEUDA INTERNA NETA (1+2+3+4) 6/,30993.417200000004,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2024,B. DEUDA INTERNA NETA (1+2+3+4) 6/,29711.94,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2025,B. DEUDA INTERNA NETA (1+2+3+4) 6/,27461.25,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2000,1. Gobierno Central 4/ 7/,210.7,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2001,1. Gobierno Central 4/ 7/,298.8,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2002,1. Gobierno Central 4/ 7/,269.7,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2003,1. Gobierno Central 4/ 7/,353.6,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2004,1. Gobierno Central 4/ 7/,751.2,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2005,1. Gobierno Central 4/ 7/,826.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2006,1. Gobierno Central 4/ 7/,929.1,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2007,1. Gobierno Central 4/ 7/,803.7,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2008,1. Gobierno Central 4/ 7/,3645.1,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2009,1. Gobierno Central 4/ 7/,4784.1,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2010,1. Gobierno Central 4/ 7/,4686.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2011,1. Gobierno Central 4/ 7/,4825.1,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2012,1. Gobierno Central 4/ 7/,6256.2,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2013,1. Gobierno Central 4/ 7/,7939.7,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2014,1. Gobierno Central 4/ 7/,7296.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2015,1. Gobierno Central 4/ 7/,7453.6,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2016,1. Gobierno Central 4/ 7/,8583.1,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2017,1. Gobierno Central 4/ 7/,10034.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2018,1. Gobierno Central 4/ 7/,9939.1,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2019,1. Gobierno Central 4/ 7/,11832.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2020,1. Gobierno Central 4/ 7/,13389.59,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2021,1. Gobierno Central 4/ 7/,13886.51,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2022,1. Gobierno Central 4/ 7/,15190.97,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
