anio,concepto,valor,unidad,hoja_origen,fuente_archivo
2019,1. Gobierno Central 4/,0.2623315497173683,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2020,1. Gobierno Central 4/,0.3911314131327687,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2021,1. Gobierno Central 4/,0.3504454929366146,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2022,1. Gobierno Central 4/,0.3191309684370986,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2023,1. Gobierno Central 4/,0.3216981011408449,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2024,1. Gobierno Central 4/,0.3269240236303727,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2025,1. Gobierno Central 4/,0.35567903436235815,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2000,2. Resto del SPNF,0.0067407802387170375,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2001,2. Resto del SPNF,0.006179455415163861,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2002,2. Resto del SPNF,0.005362791423428149,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2003,2. Resto del SPNF,0.022618548767143018,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2004,2. Resto del SPNF,0.004213638656436849,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2005,2. Resto del SPNF,0.011027035442253584,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2006,2. Resto del SPNF,0.0015292005254522185,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2007,2. Resto del SPNF,0.0010613752604380728,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2008,2. Resto del SPNF,0.00016186675936457774,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2009,2. Resto del SPNF,0.0001242799499330765,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2010,2. Resto del SPNF,0.00011145401962934139,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2011,2. Resto del SPNF,0.00010345336202175525,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2012,2. Resto del SPNF,9.89702570327844e-05,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2013,2. Resto del SPNF,9.583421753709319e-05,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2014,2. Resto del SPNF,8.943020795027395e-05,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2015,2. Resto del SPNF,8.444840496829502e-05,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2016,2. Resto del SPNF,7.93512956461699e-05,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2017,2. Resto del SPNF,7.585044380391751e-05,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2018,2. Resto del SPNF,7.037427344020211e-05,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2019,2. Resto del SPNF,6.699345310014409e-05,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
